        Span [m]	       Chord [m]	Pitch axis [x/c]
          0.8034	          0.0291	          0.3325
          0.8076	          0.0288	          0.3338
          0.8118	          0.0284	          0.3350
          0.8160	          0.0281	          0.3363
          0.8202	          0.0278	          0.3375
          0.8244	          0.0275	          0.3388
          0.8286	          0.0271	          0.3402
          0.8328	          0.0268	          0.3415
          0.8370	          0.0265	          0.3429
          0.8412	          0.0261	          0.3443
          0.8454	          0.0258	          0.3457
          0.8496	          0.0255	          0.3471
          0.8538	          0.0251	          0.3487
          0.8580	          0.0248	          0.3502
          0.8622	          0.0245	          0.3518
          0.8664	          0.0241	          0.3535
          0.8706	          0.0238	          0.3552
          0.8748	          0.0234	          0.3569
          0.8790	          0.0231	          0.3587
          0.8832	          0.0227	          0.3605
          0.8874	          0.0222	          0.3623
          0.8916	          0.0212	          0.3642
          0.8958	          0.0179	          0.3662
          0.9000	          0.0106	          0.3682
